VariableName(CSV&OSF),Website variable name,Sign Data and Filter Group,Include in filters,Include in sign data,SectionOrder,ItemOrder,Filter menu outer description info,VariableDefinition,KnackVariableName
Iconicity(M),Non-Signer Iconicity,Iconicity,1,1,4,28,The relationship between the sign form and its meaning,Mean iconicity rating from hearing non-signers  (1=not iconic at all; 7=very iconic),Iconicity(M)
Iconicity(SD),Non-Signer Iconicity SD,Iconicity,0,1,4,29,The relationship between the sign form and its meaning,Mean iconicity rating standard deviation (hearing non-signers),Iconicity(SD)
Iconicity(Z),Non-Signer Iconicity Z,Iconicity,0,1,4,30,The relationship between the sign form and its meaning,Mean standardized iconicity rating (Z-score) (hearing non-signers),Iconicity(Z)
Iconicity(N),Non-Signer Iconicity N,Iconicity,0,1,4,31,The relationship between the sign form and its meaning,Number of hearing non-signers on which Iconicity M is based,Iconicity(N)
Iconicity_ID,Non-Signer Iconicity ID,Iconicity,0,1,4,32,The relationship between the sign form and its meaning,The English translation used to elicit iconicity ratings from non-signers. The value is blank if the EntryID was sufficient.,Iconicity_ID
D.Iconicity(M),Deaf Signer Iconicity,Iconicity,1,1 (if it isn't NA),4,34,The relationship between the sign form and its meaning,Mean iconicity rating from all deaf ASL signers (1=not iconic at all; 7=very iconic),D.Iconicity(M) all
D.Iconicity(SD),Deaf Signer Iconicity SD,Iconicity,0,1 (if it isn't NA),4,35,The relationship between the sign form and its meaning,Mean iconicity rating standard deviation (all deaf ASL signers),D.Iconicity(SD) all
D.Iconicity(N),Deaf Signer Iconicity Z,Iconicity,0,1 (if it isn't NA),4,36,The relationship between the sign form and its meaning,Mean standardized iconicity rating (Z-score) (all deaf ASL signers),D.Iconicity(N) all
D.Iconicity(Z),Deaf Signer Iconicity N,Iconicity,0,1 (if it isn't NA),4,37,The relationship between the sign form and its meaning,Number of deaf ASL signers  on which Iconicity M is based,D.Iconicity(Z) all
D.Iconicity(M-native),Deaf Signer Iconicity (Native),Iconicity,0,1 (if it isn't NA),4,38,The relationship between the sign form and its meaning,Mean iconicity rating from only deaf ASL signers (1=not iconic at all; 7=very iconic),D.Iconicity(M) native
D.Iconicity(SD-native),Deaf Signer Iconicity SD (Native),Iconicity,0,1 (if it isn't NA),4,39,The relationship between the sign form and its meaning,Mean iconicity rating standard deviation (deaf native ASL signers),D.Iconicity(SD) native
D.Iconicity(Z-native),Deaf Signer Iconicity Z (Native),Iconicity,0,1 (if it isn't NA),4,40,The relationship between the sign form and its meaning,Mean standardized iconicity rating (Z-score) (deaf native ASL signers),D.Iconicity(Z) native
D.Iconicity(N-native),Deaf Signer Iconicity N (Native),Iconicity,0,1 (if it isn't NA),4,41,The relationship between the sign form and its meaning,Number of deaf native ASL signers on which Iconicity (M) is based,D.Iconicity(N) native
GuessConsistency,Consistency of Guesses,Iconicity,0,1 (if it isn't NA),4,42,The relationship between the sign form and its meaning,"A measure of consistency (diversity) of guesses by hearing non-signers for each sign, where value of zero indicates perfect agreement",H statistic
GuessAccuracy,Accuracy of Guesses (proportion),Iconicity,0,1 (if it isn't NA),4,43,The relationship between the sign form and its meaning,Proportion of participants who guessed the correct meaning of the sign,GuessAccuracy
Transparency(M),Transparency,Iconicity,1,1 (if it isn't NA),4,44,The relationship between the sign form and its meaning,Mean transparency rating from hearing non-signers; participants guessed the meaning of the sign and rated how obvious the meaning would be to others (1=not obvious at all; 7=very obvious),Transparency(M)
Transparency SD,Transparency SD,Iconicity,0,1 (if it isn't NA),4,45,The relationship between the sign form and its meaning,Mean transparency rating standard deviation,Transparency SD
Transparency Z,Transparency Z,Iconicity,0,1 (if it isn't NA),4,46,The relationship between the sign form and its meaning,Mean standardized transparency rating (Z-score) ,Transparency Z
LexicalClass,Lexical Class,Lexical Properties,1,1,5,47,Lexical characteristics,"The lexical class or a sign (Adjective, Adverb, Name, Noun, Number, Verb, and Minor: Preposition, Pronoun, Conjunction)",LexicalClass
Initialized.2.0,Initialized Sign,Lexical Properties,1,1,5,48,Lexical characteristics,Whether or not handshape of the sign is the first letter of the English translation,Initialized.2.0
FingerspelledLoanSign.2.0,Fingerspelled Loan Sign,Lexical Properties,1,1,5,49,Lexical characteristics,Whether or not sign includes more than one letter of the manual alphabet.,FingerspelledLoanSign.2.0
Compound.2.0,Compound,Lexical Properties,1,1,5,50,Lexical characteristics,"Whether or not the sign is a compound. Compounds are signs that include more than one free morpheme, and morpheme boundaries are often indicated by a change in selected fingers or major location. ",Compound.2.0
NumberOfMorphemes.2.0,Number Of Morphemes,Lexical Properties,1,1,5,51,Lexical characteristics,"The number of coded multiple sequential units in a given sign over which phonological constraints (e.g., the number of locations, the number of combinations of selected fingers) apply.  ",NumberOfMorphemes.2.0
SignOnset(ms),Sign Onset,Sign Duration,0,1,6,52,Length of the sign in milliseconds,The sign onset (milliseconds),SignOnset(ms)
SignOffset(ms),Sign Offset,Sign Duration,0,1,6,53,Length of the sign in milliseconds,The sign offset (milliseconds),SignOffset(ms)
SignDuration(ms),Sign Duration,Sign Duration,1,1,6,54,Length of the sign in milliseconds,Duration of sign (milliseconds),SignDuration(ms)
ClipDuration(ms),Video Duration,Sign Duration,1,1,6,55,Length of the sign in milliseconds,Duration of video clip (milliseconds),ClipDuration(ms)
Handshape.2.0,Handshape,Phonology,1,1,6,56,"The phonological composition of the initial ""morpheme""","The unique combination of selected fingers, flexion, spread, thumb position, and thumb contact",Handshape.2.0
SelectedFingers.2.0,Selected Fingers,Phonology,1,1,6,58,"The phonological composition of the initial ""morpheme""","Fingers that are 1) moving, otherwise 2) fingers that are not fully flexed or fully extended, otherwise 3) fingers that are fully extended. Thumb is ignored unless it is the only selected finger in the sign",SelectedFingers.2.0
Flexion.2.0,Flexion,Phonology,1,1,6,59,"The phonological composition of the initial ""morpheme""",Aperture of the selected fingers of the dominant hand at sign onset,Flexion.2.0
FlexionChange.2.0,Flexion Change,Phonology,1,1,6,60,"The phonological composition of the initial ""morpheme""",Whether or not the aperture changes ,FlexionChange.2.0
Spread.2.0,Spread,Phonology,1,1,6,61,"The phonological composition of the initial ""morpheme""",Spread of the selected fingers,Spread.2.0
SpreadChange.2.0,Spread Change,Phonology,1,1,6,62,"The phonological composition of the initial ""morpheme""",Whether or not the spread changes,SpreadChange.2.0
ThumbPosition.2.0,Thumb Position,Phonology,1,1,6,63,"The phonological composition of the initial ""morpheme""",Position of the thumb,ThumbPosition.2.0
ThumbContact.2.0,Thumb Contact,Phonology,1,1,6,64,"The phonological composition of the initial ""morpheme""",Whether or not the thumb contacts the selected fingers,ThumbContact.2.0
SignType.2.0,Sign Type,Phonology,1,1,6,65,"The phonological composition of the initial ""morpheme""",Symmetry of the hands according to Battison's sign types,SignType.2.0
Movement.2.0,Path Movement,Phonology,1,1,6,66,"The phonological composition of the initial ""morpheme""",Path movement of the first morpheme in the sign,Movement.2.0
RepeatedMovement.2.0,Repeated Movement,Phonology,1,1,6,67,"The phonological composition of the initial ""morpheme""","Whether or not the movement (path movement, wrist twist, handshape change) repeats",RepeatedMovement.2.0
MajorLocation.2.0,Major Location,Phonology,1,1,6,68,"The phonological composition of the initial ""morpheme""",General location of the dominant hand at sign onset,MajorLocation.2.0
MinorLocation.2.0,Minor Location,Phonology,1,1,6,69,"The phonological composition of the initial ""morpheme""",Specific location of the dominant hand at sign onset,MinorLocation.2.0
SecondMinorLocation.2.0,Second Minor Location,Phonology,1,1,6,70,"The phonological composition of the initial ""morpheme""",Second specific location of the dominant hand in signs with a setting change,SecondMinorLocation.2.0
Contact.2.0,Contact,Phonology,1,1,6,71,"The phonological composition of the initial ""morpheme""",Whether or not the dominant contacts the major location (or the other hand in symmetrical signs),Contact.2.0
NonDominantHandshape.2.0,Nondominant Handshape,Phonology,1,1,6,72,"The phonological composition of the initial ""morpheme""",The handshape of the nondominant hand,NonDominantHandshape.2.0
UlnarRotation.2.0,Wrist Twist,Phonology,1,1,6,73,"The phonological composition of the initial ""morpheme""",Whether or not the wrist twists,UlnarRotation.2.0
HandshapeM2.2.0,Handshape Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,74,"The phonological composition of subsequent sequential ""morphemes"" in the sign","The unique combination of selected fingers, flexion, spread, thumb position, and thumb contact in the second morpheme",HandshapeM2.2.0
SelectedFingersM2.2.0,Selected Fingers Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,76,"The phonological composition of subsequent sequential ""morphemes"" in the sign","Fingers that are 1) moving, otherwise 2) fingers that are not fully flexed or fully extended, otherwise 3) fingers that are fully extended. Thumb is ignored unless it is the only selected finger in the sign in the second morpheme",SelectedFingersM2.2.0
FlexionM2.2.0,Flexion Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,77,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Aperture of the selected fingers of the dominant hand at sign onset in the second morpheme,FlexionM2.2.0
FlexionChangeM2.2.0,Flexion Change Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,78,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the aperture changes  in the second morpheme,FlexionChangeM2.2.0
SpreadM2.2.0,Spread Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,79,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Spread of the selected fingers in the second morpheme,SpreadM2.2.0
SpreadChangeM2.2.0,Spread Change Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,80,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the spread changes in the second morpheme,SpreadChangeM2.2.0
ThumbPositionM2.2.0,Thumb Position Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,81,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Position of the thumb in the second morpheme,ThumbPositionM2.2.0
ThumbContactM2.2.0,Thumb Contact Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,82,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the thumb contacts the selected fingers in the second morpheme,ThumbContactM2.2.0
SignTypeM2.2.0,Sign Type Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,83,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Symmetry of the hands according to Battison's sign types in the second morpheme,SignTypeM2.2.0
MovementM2.2.0,Movement Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,84,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Path movement of the first morpheme in the sign in the second morpheme,MovementM2.2.0
RepeatedMovementM2.2.0,Repeated Movement Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,85,"The phonological composition of subsequent sequential ""morphemes"" in the sign","Whether or not the movement (path movement, wrist twist, handshape change) repeats in the second morpheme",RepeatedMovementM2.2.0
MajorLocationM2.2.0,Major Location Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,86,"The phonological composition of subsequent sequential ""morphemes"" in the sign",General location of the dominant hand at sign onset in the second morpheme,MajorLocationM2.2.0
MinorLocationM2.2.0,Minor Location Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,87,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Specific location of the dominant hand at sign onset in the second morpheme,MinorLocationM2.2.0
SecondMinorLocationM2.2.0,Second Minor Location Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,88,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Second specific location of the dominant hand in signs with a setting change in the second morpheme,SecondMinorLocationM2.2.0
ContactM2.2.0,Contact Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,89,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the dominant contacts the major location (or the other hand in symmetrical signs) in the second morpheme,ContactM2.2.0
NonDominantHandshapeM2.2.0,Nondominant Handshape Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,90,"The phonological composition of subsequent sequential ""morphemes"" in the sign",The handshape of the nondominant hand in the second morpheme,NonDominantHandshapeM2.2.0
UlnarRotationM2.2.0,Wrist Twist Morpheme 2,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,91,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the wrist twists in the second morpheme,UlnarRotationM2.2.0
HandshapeM3.2.0,Handshape Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,92,"The phonological composition of subsequent sequential ""morphemes"" in the sign","The unique combination of selected fingers, flexion, spread, thumb position, and thumb contact in the third morpheme",HandshapeM3.2.0
SelectedFingersM3.2.0,Selected Fingers Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,94,"The phonological composition of subsequent sequential ""morphemes"" in the sign","Fingers that are 1) moving, otherwise 2) fingers that are not fully flexed or fully extended, otherwise 3) fingers that are fully extended. Thumb is ignored unless it is the only selected finger in the sign in the third morpheme",SelectedFingersM3.2.0
FlexionM3.2.0,Flexion Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,95,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Aperture of the selected fingers of the dominant hand at sign onset in the third morpheme,FlexionM3.2.0
FlexionChangeM3.2.0,Flexion Change Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,96,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the aperture changes  in the third morpheme,FlexionChangeM3.2.0
SpreadM3.2.0,Spread Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,97,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Spread of the selected fingers in the third morpheme,SpreadM3.2.0
SpreadChangeM3.2.0,Spread Change Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,98,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the spread changes in the third morpheme,SpreadChangeM3.2.0
ThumbPositionM3.2.0,Thumb Position Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,99,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Position of the thumb in the third morpheme,ThumbPositionM3.2.0
ThumbContactM3.2.0,Thumb Contact Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,100,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the thumb contacts the selected fingers in the third morpheme,ThumbContactM3.2.0
SignTypeM3.2.0,Signtype Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,101,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Symmetry of the hands according to Battison's sign types in the third morpheme,SignTypeM3.2.0
MovementM3.2.0,Movement Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,102,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Path movement of the first morpheme in the sign in the third morpheme,MovementM3.2.0
RepeatedMovementM3.2.0,Repeated Movement Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,103,"The phonological composition of subsequent sequential ""morphemes"" in the sign","Whether or not the movement (path movement, wrist twist, handshape change) repeats in the third morpheme",RepeatedMovementM3.2.0
MajorLocationM3.2.0,Major Location Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,104,"The phonological composition of subsequent sequential ""morphemes"" in the sign",General location of the dominant hand at sign onset in the third morpheme,MajorLocationM3.2.0
MinorLocationM3.2.0,Minor Location Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,105,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Specific location of the dominant hand at sign onset in the third morpheme,MinorLocationM3.2.0
SecondMinorLocationM3.2.0,Second Minor Location Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,106,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Second specific location of the dominant hand in signs with a setting change in the third morpheme,SecondMinorLocationM3.2.0
ContactM3.2.0,Contact Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,107,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the dominant contacts the major location (or the other hand in symmetrical signs) in the third morpheme,ContactM3.2.0
NonDominantHandshapeM3.2.0,Nondominant Handshape Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,108,"The phonological composition of subsequent sequential ""morphemes"" in the sign",The handshape of the nondominant hand in the third morpheme,NonDominantHandshapeM3.2.0
UlnarRotationM3.2.0,Wrist Twist Morpheme 3,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,109,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the wrist twists in the third morpheme,UlnarRotationM3.2.0
HandshapeM4.2.0,Handshape Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,110,"The phonological composition of subsequent sequential ""morphemes"" in the sign","The unique combination of selected fingers, flexion, spread, thumb position, and thumb contact in the fourth morpheme",HandshapeM4.2.0
SelectedFingersM4.2.0,Selected Fingers Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,112,"The phonological composition of subsequent sequential ""morphemes"" in the sign","Fingers that are 1) moving, otherwise 2) fingers that are not fully flexed or fully extended, otherwise 3) fingers that are fully extended. Thumb is ignored unless it is the only selected finger in the sign in the fourth morpheme",SelectedFingersM4.2.0
FlexionM4.2.0,Flexion Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,113,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Aperture of the selected fingers of the dominant hand at sign onset in the fourth morpheme,FlexionM4.2.0
FlexionChangeM4.2.0,Flexion Change Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,114,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the aperture changes  in the fourth morpheme,FlexionChangeM4.2.0
SpreadM4.2.0,Spread Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,115,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Spread of the selected fingers in the fourth morpheme,SpreadM4.2.0
SpreadChangeM4.2.0,Spread Change Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,116,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the spread changes in the fourth morpheme,SpreadChangeM4.2.0
ThumbPositionM4.2.0,Thumb Position Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,117,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Position of the thumb in the fourth morpheme,ThumbPositionM4.2.0
ThumbContactM4.2.0,Thumb Contact Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,118,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the thumb contacts the selected fingers in the fourth morpheme,ThumbContactM4.2.0
SignTypeM4.2.0,Sign Type Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,119,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Symmetry of the hands according to Battison's sign types in the fourth morpheme,SignTypeM4.2.0
MovementM4.2.0,Movement Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,120,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Path movement of the first morpheme in the sign in the fourth morpheme,MovementM4.2.0
RepeatedMovementM4.2.0,Repeated Movement Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,121,"The phonological composition of subsequent sequential ""morphemes"" in the sign","Whether or not the movement (path movement, wrist twist, handshape change) repeats in the fourth morpheme",RepeatedMovementM4.2.0
MajorLocationM4.2.0,Major Location Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,122,"The phonological composition of subsequent sequential ""morphemes"" in the sign",General location of the dominant hand at sign onset in the fourth morpheme,MajorLocationM4.2.0
MinorLocationM4.2.0,Minor Location Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,123,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Specific location of the dominant hand at sign onset in the fourth morpheme,MinorLocationM4.2.0
SecondMinorLocationM4.2.0,Second Minor Location Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,124,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Second specific location of the dominant hand in signs with a setting change in the fourth morpheme,SecondMinorLocationM4.2.0
ContactM4.2.0,Contact Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,125,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the dominant contacts the major location (or the other hand in symmetrical signs) in the fourth morpheme,ContactM4.2.0
NonDominantHandshapeM4.2.0,Nondominant Handshape Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,126,"The phonological composition of subsequent sequential ""morphemes"" in the sign",The handshape of the nondominant hand in the fourth morpheme,NonDominantHandshapeM4.2.0
UlnarRotationM4.2.0,Wrist Twist Morpheme 4,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,127,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the wrist twists in the fourth morpheme,UlnarRotationM4.2.0
HandshapeM5.2.0,Handshape Morpheme 5,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,128,"The phonological composition of subsequent sequential ""morphemes"" in the sign","The unique combination of selected fingers, flexion, spread, thumb position, and thumb contact in the fifth morpheme",HandshapeM5.2.0
SelectedFingersM5.2.0,Selected Fingers Morpheme 5,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,130,"The phonological composition of subsequent sequential ""morphemes"" in the sign","Fingers that are 1) moving, otherwise 2) fingers that are not fully flexed or fully extended, otherwise 3) fingers that are fully extended. Thumb is ignored unless it is the only selected finger in the sign in the fifth morpheme",SelectedFingersM5.2.0
FlexionM5.2.0,Flexion Morpheme 5,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,131,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Aperture of the selected fingers of the dominant hand at sign onset in the fifth morpheme,FlexionM5.2.0
FlexionChangeM5.2.0,Flexion Change Morpheme 5,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,132,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the aperture changes  in the fifth morpheme,FlexionChangeM5.2.0
SpreadM5.2.0,Spread Morpheme 5,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,133,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Spread of the selected fingers in the fifth morpheme,SpreadM5.2.0
SpreadChangeM5.2.0,Spread Change Morpheme 5,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,134,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the spread changes in the fifth morpheme,SpreadChangeM5.2.0
ThumbPositionM5.2.0,Thumb Position Morpheme 5,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,135,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Position of the thumb in the fifth morpheme,ThumbPositionM5.2.0
ThumbContactM5.2.0,Thumb Contact Morpheme 5,Phonology of Additional Morphemes,0,1 (if it isn't NA),7,136,"The phonological composition of subsequent sequential ""morphemes"" in the sign",Whether or not the thumb contacts the selected fingers in the fifth morpheme,ThumbContactM5.2.0
