EntryID,LemmaID,Code,YouTube Video,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,bglm_aoa,empirical_aoa,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,Transparency M,Transparency SD,Transparency Z,H index,SignBankID,Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,Parameter.Neighborhood.Density.2.0.1,Neighborhood Density 2.0.1,DominantTranslation,SignBankID.1,Neighborhood Density
about_1,about,B_02_072,,5.48,1.475,0.523,25,0,5.5,1.787,0.518,14,0,,,2.067,2.045,-0.324,30,,5.268,Minor,367,1068,701,1869,1.36,0.8,31,-0.81,1.36,0.85,22,-0.77,Arbitrary,0,0,0,1,1,0,i,FullyOpen,0,,,Closed,0,AsymmetricalSameHandshape,Circular,Hand,HandAway,FingerTip,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,682,96,11,208,712,1051,2010,1509,1694,0,0,1756,934,448,4,1,0,-0.16,ABOUTix,4,2,4,2,,ABOUTix,1
about_2,about,B_02_003,,3.522,1.534,-0.762,23,0,3.417,1.564,-0.794,12,0.14,,,2.133,2.045,-0.309,30,,5.268,Minor,567,1502,934,2269,1.9,1.27,31,-0.55,1.86,1.15,22,-0.56,Arbitrary,0,0,0,1,1,0,i,FullyOpen,0,,,Closed,0,AsymmetricalDifferentHandshape,Circular,Hand,HandAway,FingerTip,1,O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,35,476,682,96,11,208,712,1051,2010,1509,1694,0,0,1756,934,448,4,2,0,-0.16,ABOUTb,4,0,4,0,,ABOUTb,0
absolutely_nothing,absolutely_nothing,J_01_027,,2.957,1.821,-0.686,30,0,2.833,1.946,-0.906,15,0.2,0,0,1.5,1.142,-0.788,24,absolutely nothing,,Number,534,1001,467,1502,,,,,,,,,Arbitrary,1,0,0,1,flat_o,0,imrp,Flat,0,0,0,Open,1,OneHanded,None,Head,Mouth,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,725,126,0,416,1222,415,2010,1509,1694,839,1391,812,1790,2276,,,,,"ABSOLUTELY-NOTHING	",9,3,9,3,none,"ABSOLUTELY-NOTHING	",4
accent,accent,E_01_073,,3.094,1.594,-0.681,35,0,2.75,1.603,-0.911,15,0.2,,,2.48,2.275,-0.58,25,,2.794,Noun,434,1502,1068,2035,,,,,,,,,Arbitrary,0,0,0,1,1,0,i,FullyOpen,0,,,Closed,0,OneHanded,None,Body,Neck,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,256,16,0,416,712,1051,2010,1215,1694,0,0,1756,934,448,,,,,ACCENT,1,1,1,1,,ACCENT,0
accept,accept,H_02_042,,5.5,1.072,0.812,28,0,5.786,1.051,1.013,14,0,,,2.739,1.573,-0.28,23,,3.43,Verb,367,1268,901,1735,,,,,,,,,Arbitrary,0,0,0,1,flatspread_5,1,imrp,Flat,1,1,1,Open,1,SymmetricalOrAlternating,Straight,Body,TorsoTop,,1,flatspread_5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,256,87,0,1245,1222,415,532,1509,1694,554,194,812,1790,2276,,,,,ACCEPT,4,1,4,1,,ACCEPT,0
access,access,H_02_086,,5.036,1.17,0.527,28,0,5.214,1.122,0.647,14,0,,,2.565,1.376,-0.338,23,,3.208,Noun,334,1368,1034,1935,,,,,,,,,Arbitrary,0,0,0,1,open_b,1,imrp,FullyOpen,0,0,0,Open,0,AsymmetricalDifferentHandshape,Straight,Hand,Palm,HandAway,1,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,682,210,298,1245,1222,1051,2010,1215,1694,839,1391,1756,1790,2276,,,,,ACCESS,28,6,28,6,,ACCESS,1
accident,accident,B_02_059,,4.12,1.833,-0.326,25,0,4.071,1.592,-0.344,14,0,,,3.3,2.045,0.263,30,,3.618,Verb,400,1101,701,1635,4.07,1.71,31,0.62,3.77,1.8,22,0.5,Arbitrary,0,0,0,1,5,0,imrp,FullyOpen,1,1,1,Open,1,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,818,1245,1222,1051,532,1509,1694,554,194,812,1790,2276,4,1,0,-0.19,ACCIDENT,21,1,21,1,,ACCIDENT,1
accomplish,accomplish,C_02_085,,4.467,1.456,0.047,30,0,4.611,1.42,0.024,18,0,,,1.963,2.025,-0.398,27,,2.476,Verb,601,1201,601,2002,1.77,1.33,30,-0.59,1.67,1.11,21,-0.7,Arbitrary,0,0,0,1,1,0,i,FullyOpen,0,,,Closed,0,SymmetricalOrAlternating,Straight,Head,HeadAway,HeadAway,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,725,179,342,1245,712,1051,2010,1215,1030,0,0,1756,934,448,3,2,0,-0.17,SUCCEED,31,0,31,0,,SUCCEED,1
accordion,accordion,F_02_048,,1.737,1.284,-1.423,27,0,1.875,1.458,-1.291,14,0.43,,,6.065,1.611,0.54,31,,1.833,Noun,467,1969,1502,2569,,,,,,,,,Pantomimic,0,0,0,1,s,0,imrp,FullyClosed,0,,,Closed,1,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,818,1245,1222,173,2010,1215,1030,0,0,812,934,2276,,,,,ACCORDION,38,7,38,7,,ACCORDION,10
accountant,accountant,A_03_044,,3.24,1.832,-0.381,25,0,3.067,1.907,-0.424,15,0,,,2.476,2.153,-0.496,21,,2.5,Noun,400,1235,834,1602,1.55,0.96,31,-0.9,1.47,0.84,19,-0.89,Arbitrary,0,0,1,2,f,1,i,Curved,0,,,Open,1,AsymmetricalDifferentHandshape,Straight,Hand,Palm,,1,B,0,open_b,1,imrp,FullyOpen,0,0,0,Open,0,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,open_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,682,210,0,1245,712,579,2010,1215,1694,0,0,812,1790,2276,,,,,ACCOUNTANT,7,6,7,6,,ACCOUNTANT,6
acquire,acquire,H_01_034,,5.25,1.295,0.676,28,0,5.286,1.383,0.71,14,0,,,2.35,1.755,-0.57,20,,2.134,Verb,367,1235,868,1869,,,,,,,,,Arbitrary,0,0,0,1,8,1,m,Flat,1,,,Open,1,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,818,1245,123,415,532,1215,1030,0,0,812,1790,2276,,,,,ACQUIRE,4,3,4,3,,ACQUIRE,3
act,act,B_02_038,,4.28,1.208,-0.214,25,0,4.286,0.914,-0.225,14,0,,,1.6,2.045,-0.539,30,,3.746,Verb,334,901,567,1468,1.48,1.06,31,-0.73,1.5,1.1,22,-0.7,Arbitrary,0,0,0,1,a,0,t,,,,,Open,,SymmetricalOrAlternating,Circular,Body,TorsoTop,TorsoTop,1,a,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,256,87,21,208,156,0,0,1215,1694,0,0,0,1790,2276,4,1,0,-0.2,ACT,5,8,5,8,,ACT,2
action,action,C_01_026,,4.533,1.383,0.075,30,0,4.944,1.11,0.218,18,0,,,2.2,1.921,-0.336,30,,3.494,Noun,501,1168,667,1835,2.17,1.18,30,-0.38,2.14,1.11,21,-0.45,Arbitrary,0,0,0,1,c,0,imrp,Curved,0,0,0,Open,0,SymmetricalOrAlternating,Circular,Neutral,Neutral,Neutral,0,c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,818,208,1222,579,2010,1215,1030,839,1391,1756,1790,2276,3,2,0,-0.18,ACTION,0,2,0,2,,ACTION,5
actor,actor,A_03_047,,4.44,1.635,0.23,25,0,4.533,1.407,0.33,15,0,,,1.524,2.153,-0.941,21,,3.128,Noun,300,1235,934,1602,1.55,0.93,31,-0.9,1.58,0.96,19,-0.83,Arbitrary,0,0,1,2,a,0,t,,,,,Open,,SymmetricalOrAlternating,Circular,Body,TorsoTop,BodyAway,1,a,0,open_b,1,imrp,FullyOpen,0,0,0,Open,0,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,open_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,256,87,86,208,156,0,0,1215,1694,0,0,0,1790,2276,,,,,ACTOR,5,8,5,8,,ACTOR,2
add,add,E_02_030,,5.188,1.203,0.52,32,0,5,1.363,0.407,15,0,,,3.097,2.271,-0.333,31,,3.227,Verb,501,1235,734,1935,,,,,,,,,Arbitrary,0,0,0,1,flatspread_5,1,imrp,Flat,1,1,1,Open,1,DominanceViolation,Curved,Hand,HandAway,FingerUlnar,1,DominanceConditionViolation,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,682,96,6,634,1222,415,532,1509,1694,554,194,812,1790,2276,,,,,ADD,0,0,0,0,,ADD,0
addict,addict,H_02_073,,4.25,1.378,0.101,28,0,4.571,1.222,0.279,14,0,1,1,2.391,1.158,-0.392,23,,2.438,Noun,534,1368,834,1902,,,,,,,,,Arbitrary,0,0,0,1,bent_1,1,i,Bent,0,,,Closed,0,OneHanded,Straight,Head,Mouth,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,725,126,0,1245,712,253,2010,1509,1694,0,0,1756,934,2276,,,,,ADDICT,9,2,9,2,addict,ADDICT,6
address,address,D_01_016,,4.889,1.476,0.41,27,0,5.125,1.408,0.528,16,0,,,1.486,2.025,-0.728,37,,3.426,Noun,667,1568,901,2102,1.39,0.57,26,-0.87,1.44,0.62,18,-0.8,Arbitrary,1,0,0,1,a,0,t,,,,,Open,,SymmetricalOrAlternating,Straight,Body,TorsoMid,TorsoTop,1,a,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,256,15,21,1245,156,0,0,1509,1694,0,0,0,1790,2276,,,,,LIVEa,13,5,13,5,,LIVEa,1
admire,admire,J_03_049,,4.483,1.326,0.208,29,0,4.333,1.496,0.07,15,0,,,1.652,1.152,-0.574,23,,2.859,Verb,400,1268,868,1835,,,,,,,,,Arbitrary,0,0,0,1,flat_v,1,im,Flat,1,1,0,Closed,0,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,0,flat_v,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,989,990,818,634,381,415,532,1509,1030,554,1391,1756,934,2276,,,,,ADMIRE,0,0,0,0,,ADMIRE,0
admit,admit,J_02_062,,4.633,1.45,0.306,30,0,4.867,1.246,0.348,15,0,,,3.84,1.248,0.297,25,admit (confess),3.48,Verb,567,1401,834,1835,,,,,,,,,Arbitrary,0,0,0,1,open_b,1,imrp,FullyOpen,0,0,0,Open,0,OneHanded,Curved,Body,TorsoMid,BodyAway,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,256,15,86,634,1222,1051,2010,1509,1694,839,1391,1756,1790,2276,,,,,ADMIT,3,4,3,4,,ADMIT,1
