EntryID,DominantGloss.Percent,PercentGlossAgreement,NondominantGloss.Percent,AdditionalGloss.Number,
mime,mime,80.95,"motion (9.5), pack (4.8), scrapping (4.8)",,
mouse,mouse,100.00,,"mice (1), fake (1), false (1)",
movie,"movie (96.3), movies (3.7)",100.00,,"film (2), cheese (1)",
museum,museum,65.52,"McDonalds (31.0), Montana (3.4)",,
napkin,"napkin (91.3), napkins (4.3)",95.65,cued speech (4.3),cued speech (1),
nephew,nephew,93.10,"niece (3.45), boy with sign name ""M"" (3.45)","nephew (1), neurology (1)",
neutral,neutral,91.67,noun (8.3)  ,,
newspaper,newspaper,96.30,print (3.7),"print (2), printer (1), publish (1)",
off_the_point,off the point,77.78,random (3.7)deviant (3.7)off topic (3.7)irrelevant (3.7),"off the point (1), off the topic (2), off the subject (2), deviate (1), off base (1)unexpected (1), off the track (1)",
onion,"onion (92.0), onions (8.0)",100.00,,,
order_2,order,83.33,command (16.7),"command (8), order (3)",
owe,owe,70.00,"debt (10.0), due (10.0), afford (6.7), billing (3.3)","owe (4), debt (5), due (5), afford (1), affordable (1), bill(s) (3), ",
pants,"pants (93.5), pant (6.5)",96.77,slack (3.2)  ,"slacks (1), trouser (1)",
patient_3,patient,40.74,"bear (18.5), patience (14.8), tolerance (7.4), tolerate (7.4), suffer, suffering (7.4), endure (3.7)","tolerate (2), patient (1), patience (1), suck it up (1), put up with (1), bear (1) ",
penny,penny,65.38,cent (34.6),,
perfect,perfect,80.77,"exact (7.7), exactly (3.8), precisely (3.8), perfection (3.8)","precise (2), exactly (1), exact (2)",
pile,pile,37.50,"large amount (16.7), a lot (12.5),  bunch (8.33), plenty of (4.17), bountiful (4.17), overflow (4.17), overloaded (4.17), big and round (4.17), balloon (4.17), more than enough (4.17)","plenty (overflowing) for ""food on plate"" (1), overflowed (1), half dome (1), bunch of(1), fluffy (1)",
pipe,pipe,86.36,"smoke pipe (4.55), iphone (4.55), drink alcohol (4.55)",popeye (1),
pool_game,pool (game),84.62,billiards (15.4),billiards (2),
pop,pop (a balloon),86.96,"chime the bell (4.3),pop a pin in a cushion (4.3), beats on the drum (4.3)","pop the idea, deflate the idea (1), burst a bubble (1)",
potato,"potato (80.0), potatoes (12.0)",92.00,"chips (4.0), potato chip (4.0)  ","chips (1), potato (1)",
power,power,93.10,powerful (6.9),powerful (2),
prefer,prefer,44.00,"younger (36.0), rather (8.0), better (4.0), healthier (4.0), chief/CEO (4.0)",,
problem_1,"problem (90.0), problems (10.0)",100.00,,"difficult (1), difficulty (1), issue(s) (2), puzzle (1)",
psychologist,psychologist  ,88.00,"shrink (4.0), psychology (4.0), psychical (4.0)  ",,
really,really?,92.00,"sure? (4.0), true? (4.0)","sure (2), really?  (1), are you kidding me? (1)",
responsibility,responsibility,68.00,"responsible (28.0), liability (4.0)","obligation (1), duty (1), responsibility (1), accountable (1)",
revenge,revenge,100.00,,"avenge (1), prank (1), retaliate (1)",
rhino ,rhino,100.00,,horn (1),
rollerblade,"rollerblade (48.1), rollerblading (33.3)",81.48,"rollerblades (14.8), skate (3.7)",rollerblading (2),
rude,rude,95.83,blank (4.17),,
run,"run (92.0), running (8.0)",100.00,,jog (1),
russia,russia,88.89,"syrup (3.7), maple (3.7), honey (3.7)","Russia (1), syrup (1)",
saw,saw,90.48,"pump (4.8), stab (4.8)","pump (1), hacksaw (1), sawing (1), poke with stick (1)",
scan,"scan (40.0), scanning (3.3)",43.33,"xerox (30.0), (photo)copy, copy machine (23.3)","xerox (4), copy machine (6), scanner (3), scan (6)",
screwdriver,screwdriver,84.62,screw (15.4),,
scroll_down,scroll down,53.85,"drag (11.5), mark all with same answer, select all (11.5), scratch (7.7), click click click (3.8), copy and paste document from computer (3.8), sew straight down (3.8), test (3.8)",,
set_up,set up,52.00,"establish (20.0), club (8.0), founder (4.), foundation (4.0), found (4.0), founded (4.0), establishment (4.0) ","establish (5), established (1),  set up (3), founded (2), found (1)",
shave,shave,37.50,"electric shaver or shaving machine (31.3), CL: shave with an electric razor (12.5), CL:shave beard with a shaving machine (6.3), CL: a person shaving their face (6.3), shave frequently (6.3)",,
shiny,shiny,51.85,"shine (40.7), shining (7.4)","shiny (1), golden name (1), glow (1), glowing (1), shine (2), sparkling (1)",
shirt,shirt,66.70,"t-shirt (23.3), sweater (3.3), top (as in piece of cloth) (3.3), blouse (3.3)  ","sweater (3), blouse (1)",
shocked,shocked,51.85,shock (48.1),"stunned (2), dumbfounded (1), shock (1), shocking (1)",
shoes,"shoes (92.6), shoe (3.7)",100.00,,,
silver,silver,88.46,sound (11.5),,
smart,smart,77.78,"clever (11.1), intelligent (7.4), brilliant (3.7)","intelligent (4), intelligence (2), clever (2), brilliant (2)",
smoking,"smoking (66.7), smoke (33.3)",100.00,,smoking (1),
socks,"socks (88.0), sock (12.0)",100.00,,,
soup,soup,64.52,spoon (35.5  ,"soup (4), cereal (2)",
south,south,96.67,none (3.3),,
spaghetti,spaghetti,70.97,pasta (29.0),"pasta (6), spaghetti (1), noodles (1)",
speakers,,41.67,"(light) flashing (on and off (12.5), lights blinking (8.33), boom box (8.33), music booming / blasting (8.33), loud noise (8.33), good sound (4.17), flickering lights (4.17), flash (4.17)","music booming (1), flashing lights from behind (1)",
squirrel,squirrel,100.00,,chipmunk (1),
stamp,"stamp (66.7), stamps (19.0)",85.71,"fun/have fun! (9.5), postage (4.8)",,
stars,"stars (45.2), star (54.8)",100.00,,,
start,start,84.00,begin (16.0),"start (2), begin (6)",
stethoscope,stethoscope,84.21,doctor (10.5),,
student,student,74.07,learner (25.9)  ,"student (2), learner (2)",
stupid_1,stupid,76.67,"ignorant (13.3), dumb (10.0)","stupid (3), ignorant (1), dumb (1), no idea (1)",
stupid_2,stupid,26.67,"pea-brain (20.0), nitwit (16.7), moron (10.0), goofy (10.0), dunce (3.3), idiot (3.3), square-headed (3.3), ignorant (3.3), duh (3.3)","stupid (3), dumb (2), moron (1), pea-brained (2), dimwit (1), imbecile (1), shouldn't-have-done-that (1)",
sure ,sure,76.67,"true (16.7), really (3.3), certainly (3.3)","true (4), really (3), sure (3)",
surf,"surf (54.8), surfing (29.0)",83.87,"skateboard (9.7), ride (3.2), surfer (3.2)  ",,
sushi,sushi,80.77,nurse (19.2),food (1),
sweater,sweater,50.00,"blouse (15.4), t-shirt / shirt (15.4), top (7.7), woman (7.7), sweatshirt (3.8)","shirt (3), sweatshirt (2), blouse (2), female (1)",
sweep,"sweep (63.0), sweeping (7.4)",70.37,broom (29.6),"broom (6), sweep (2)",
swing,"swing (20.0), swinging (6.7)",26.67,"hammock (13.3), rock (6.7), rocking (6.7), stingray (6.7), sway (6.7), cradling (6.7), water (6.7), skateboard (6.7), leaf falling (6.7), surface bend like ""Pan"" (6.7)  ",hammock (1) boat moves (1),
sympathy,sympathy,40.74,"poor (thing) (29.6), pity (25.9), mercy (3.7)","pity (7), poor (5), sympathy (3), mercy (2)",
tease,"tease (48.1), teasing (14.8)",62.96,"(just) kidding (14.8), joking (14.8), joke (7.4)","joking (5), kidding (3), teasing (1), joke (2)",
tennis,tennis,87.10,"whip (3.2), sword (9.7)","whack (1), ping pong (1)",
text,"text (43.5), texting (17.4)",60.87,"video game (17.4), pager (17.4), which (4.35)","page (1), email via phone (1), video game (1), texting (2), playing video game (1), use pager (1), text you (1)",
thanksgiving,thanksgiving,100.00,,,
theater,theater,48.15,"show (14.8), play (14.8), act (11.1), acting (3.7), actor (3.7), actors (3.7), ","play (6), actor/actress (4), act (2), drama (2),  performance (2), perform (1), skit (1)",
things,things,84.00,"invite, invite-me (8.0), invited (4.0), materials 4.0)","objects (1), things (1), resources (1), supplies (1), something (1)",
think_over,think over,73.08,"mindless (3.8), curly (3.8), running (3.8), in process (3.8), brainwashed (3.8), wired (3.8), curling hair on iron (3.8)","insane (1), a lot on the mind (1)",
tobacco,tobacco,81.48,"chew tobacco (14.8), smirk (3.7)  ","snug (1), chew tobacco (1), tobacco (chewable) (1)",
toilet,toilet  ,100.00,,bathroom (4),
trash,trash,77.42,"garbage (12.9), bag (3.2)  ","trash (2), garbage (4), purse (1)",
vacation,vacation,100.00,,"holiday (1), off work (1)",
vacuum,"vacuum (88.8), vacuuming (7.4)",96.15,roast marshmallows (3.8),,
vegetable,"vegetable (82.8), vegetables (17.2)",100.00,,vegetarian (2),
videophone,videophone,80.00,"videochat (4.0), webchat (4.0), webcam (4.0), talk via video (4.0), video conferencing (4.0)","webcam (1), Skype (1), video chat (1)",
waiter,"waiter (51.6), waitress (22.6)",74.19,"server (16.1), servant (3.2), deliverer (3.2), service (3.2)  ","waitress (11), server (4), servant (1)",
wander,"wander (51.6), wandering (9.7), wander off (3.2), wander around (3.2)",67.74,"walk away (12.9), roam (3.2), walking (3.2), walk alone (3.2), walking alone (3.2), person walks alone (3.2), walk around (3.2)  ","walk (2), walk off (1), walk away (1)",
war,war,96.00,commotion (4.0),"battle (5), fight (1)",
wet,wet,96.00,soaked (4.0),,
what_2,what,100.00,,,
what_for,what-for?,96.67,none (3.3),,
whistle,whistle,48.15,"referee (44.4), umpire (7.4)  ","referee (2), umpire (1)",
window,window (92.0) windows (8.0),100.00,,,
witch,witch,78.26,"big nose (8.7), big nosed (4.3), witch nose (4.3), parrot (4.3)  ",,
wrong_2,wrong,86.67,"mistake (3.3), accident (3.3), what's the matter? (3.3), why-not? (3.3)","mistake (4), suddenly (1), error (1), mistaken (1), I am wrong (1), what's the matter? (1)",
zoom_in,zoom in,37.50,"enlarge (20.8), expand (4.17), vlog (4.17), close up (4.17), full screen (4.17), blow up (4.17), screen appears (4.17), open up (4.17), open window (4.17), open a website page (4.17), vlog or blog open (4.17)","blow up (2), pops up (as in window) (1), pull up the window/vlog (1), zoom in (1), enlarge (1), computer interface turn on (1)",
zoom_off,zoom (off),55.56,"train gone, zoom (14.8), take off (7.4), go (fast) (7.4), leave immediately (3.7), sprint (3.7), run off (3.7), something went by quickly! (3.7)","take off (1), vanished (1), left disappeared (1), leave immediately (1), gone fast (3), dashed (1)",
