EntryID,Participant,SignFrequencyRating(Raw),SignFrequency(ParticipantZ),ParticipantMeanFrequencyRating,ParticipantFrequencySD,Gender,ASLstatus,Age,UnknownSign,TechnicalDifficultyTrial,RepeatedTrial,ExcludedTrial
5_dollars,1734D,3,-0.965,4.743,1.806,Female,Native,42,0,0,0,0
8_hour,0063D,6,0.809,4.388,1.992,Female,Native,59,0,0,0,0
8_hour,0064D,3,-0.827,4.384,1.672,Male,Native,35,0,0,0,0
8_hour,0129D,2,-0.983,3.875,1.906,Female,Native,30,0,0,0,0
8_hour,0283D,7,0.787,5.481,1.93,Female,Native,37,0,0,0,0
8_hour,0804D,5,0.254,4.685,1.238,Male,Native,31,0,0,0,0
8_hour,1120D,5,0.297,4.519,1.621,Female,Native,32,0,0,0,0
8_hour,1121D,3,-0.326,3.557,1.708,Male,Native,33,0,0,0,0
8_hour,1193D,4,-0.512,4.729,1.424,Female,Early,31,0,0,0,0
8_hour,1270D,4,0.239,3.818,0.763,Male,Early,46,0,0,0,0
8_hour,1324D,5,0.491,4.107,1.819,Male,Native,31,0,0,0,0
8_hour,1545D,1,-1.815,4.068,1.69,Female,Native,20,0,0,0,0
8_hour,1549D,6,1.143,4.304,1.484,Male,Native,25,0,0,0,0
8_hour,1607D,6,0.863,4.387,1.869,Male,Early,54,0,0,0,0
8_hour,1619D,6,1.306,3.767,1.71,Female,Early,31,0,0,0,0
8_hour,1621D,5,0.089,4.843,1.761,Female,Early,31,0,0,0,0
8_hour,1638D,2,-1.153,4.083,1.806,Female,Early,28,0,0,0,0
8_hour,1639D,3,-0.714,3.958,1.343,Female,Early,28,0,0,0,0
8_hour,1692D,4,-0.356,4.668,1.875,Female,Native,32,0,0,0,0
8_hour,1714D,4,-0.438,4.647,1.476,Male,Native,25,0,0,0,0
8_hour,1721D,5,0.891,3.549,1.629,Male,Early,24,0,0,0,0
8_hour,1728D,4,-0.303,4.379,1.253,Male,Native,53,0,0,0,0
8_hour,1729D,3,-0.532,4.045,1.965,Female,Native,46,0,0,0,0
8_hour,1734D,6,0.649,4.851,1.769,Female,Native,42,0,0,0,0
8_hour,1741D,3,-0.328,3.651,1.986,Female,Early,33,0,0,0,0
8_hour,1742D,7,0.896,5.32,1.876,Female,Native,54,0,0,0,0
8_hour,1745D,4,-0.899,5.506,1.676,Female,Early,59,0,0,0,0
8_hour,1746D,4,0.361,3.389,1.691,Female,Early,55,0,0,0,0
8_hour,1748D,2,-0.711,3.468,2.066,Female,Early,56,0,0,0,0
8_hour,1751D,3,-0.685,4.53,2.234,Female,Native,50,0,0,0,0
8_hour,1752D,6,0.205,5.688,1.521,Female,Native,42,0,0,0,0
9_oclock,0063D,7,1.311,4.388,1.992,Female,Native,59,0,0,0,0
9_oclock,0064D,4,-0.229,4.384,1.672,Male,Native,35,0,0,0,0
9_oclock,0129D,3,-0.459,3.875,1.906,Female,Native,30,0,0,0,0
9_oclock,0283D,4,-0.768,5.481,1.93,Female,Native,37,0,0,0,0
9_oclock,0804D,5,0.254,4.685,1.238,Male,Native,31,0,0,0,0
9_oclock,1120D,4,-0.32,4.519,1.621,Female,Native,32,0,0,0,0
9_oclock,1121D,2,-0.912,3.557,1.708,Male,Native,33,0,0,0,0
9_oclock,1193D,4,-0.512,4.729,1.424,Female,Early,31,0,0,0,0
9_oclock,1270D,4,0.239,3.818,0.763,Male,Early,46,0,0,0,0
9_oclock,1324D,5,0.491,4.107,1.819,Male,Native,31,0,0,0,0
9_oclock,1545D,3,-0.632,4.068,1.69,Female,Native,20,0,0,0,0
9_oclock,1549D,4,-0.205,4.304,1.484,Male,Native,25,0,0,0,0
9_oclock,1607D,4,-0.207,4.387,1.869,Male,Early,54,0,0,0,0
9_oclock,1619D,4,0.136,3.767,1.71,Female,Early,31,0,0,0,0
9_oclock,1621D,5,0.089,4.843,1.761,Female,Early,31,0,0,0,0
9_oclock,1638D,3,-0.599,4.083,1.806,Female,Early,28,0,0,0,0
9_oclock,1639D,3,-0.714,3.958,1.343,Female,Early,28,0,0,0,0
9_oclock,1692D,5,0.177,4.668,1.875,Female,Native,32,0,0,0,0
9_oclock,1714D,7,1.595,4.647,1.476,Male,Native,25,0,0,0,0
9_oclock,1721D,1,-1.564,3.549,1.629,Male,Early,24,0,0,0,0
9_oclock,1728D,4,-0.303,4.379,1.253,Male,Native,53,0,0,0,0
9_oclock,1729D,6,0.995,4.045,1.965,Female,Native,46,0,0,0,0
9_oclock,1734D,6,0.649,4.851,1.769,Female,Native,42,0,0,0,0
9_oclock,1741D,2,-0.831,3.651,1.986,Female,Early,33,0,0,0,0
9_oclock,1742D,7,0.896,5.32,1.876,Female,Native,54,0,0,0,0
9_oclock,1745D,4,-0.899,5.506,1.676,Female,Early,59,0,0,0,0
9_oclock,1746D,3,-0.23,3.389,1.691,Female,Early,55,0,0,0,0
9_oclock,1748D,1,-1.195,3.468,2.066,Female,Early,56,0,0,0,0
9_oclock,1751D,4,-0.237,4.53,2.234,Female,Native,50,0,0,0,0
9_oclock,1752D,6,0.205,5.688,1.521,Female,Native,42,0,0,0,0
about_1,0064D,7,1.464,4.583,1.652,Male,Native,35,0,0,0,0
about_1,0129D,7,1.644,4.226,1.687,Female,Native,29,0,0,0,0
about_1,0283D,4,-0.298,4.537,1.802,Female,Native,37,0,0,0,0
about_1,0646D,7,0.729,6.282,0.986,Male,Early,37,0,0,0,0
about_1,1120D,5,0.445,4.243,1.701,Female,Native,32,0,0,0,0
about_1,1121D,5,0.549,4.015,1.793,Male,Native,33,0,0,0,0
about_1,1124D,7,1.486,4.45,1.717,Female,Native,28,0,0,0,0
about_1,1180D,7,1.03,5.157,1.79,Female,Early,30,0,0,0,0
about_1,1193D,6,0.814,4.883,1.371,Female,Early,31,0,0,0,0
about_1,1324D,6,1.295,3.599,1.854,Male,Native,31,0,0,0,0
about_1,1619D,4,0.508,3.183,1.609,Female,Early,30,0,0,0,0
about_1,1621D,5,0.056,4.899,1.8,Female,Early,31,0,0,0,0
about_1,1625D,7,1.112,4.949,1.844,Female,Native,28,0,0,0,0
about_1,1626D,5,-0.757,6.007,1.33,Male,Early,30,0,0,0,0
about_1,1631D,5,0.322,4.436,1.751,Female,Early,28,0,0,0,0
about_1,1636D,2,-1.582,4.83,1.789,Male,Native,27,0,0,0,0
about_1,1638D,6,1.042,4.159,1.766,Female,Early,27,0,0,0,0
about_1,1639D,4,-0.015,4.019,1.257,Female,Early,28,0,0,0,0
about_1,1692D,7,1.062,5.253,1.645,Female,Native,32,0,0,0,0
about_1,1714D,5,0.291,4.567,1.489,Male,Native,24,0,0,0,0
about_1,1721D,6,1.473,3.954,1.389,Male,Early,24,0,0,0,0
about_1,1725D,5,0.617,4.21,1.281,Male,Early,24,0,0,0,0
about_1,1728D,7,0.907,5.919,1.193,Male,Native,52,0,0,0,0
about_1,1729D,6,0.394,5.377,1.583,Female,Native,45,0,0,0,0
about_1,1734D,2,-1.519,4.743,1.806,Female,Native,42,0,0,0,0
about_2,0064D,4,-0.353,4.583,1.652,Male,Native,35,0,0,0,0
about_2,0129D,3,-0.727,4.226,1.687,Female,Native,29,0,0,0,0
about_2,0283D,1,-1.963,4.537,1.802,Female,Native,37,0,0,0,0
about_2,0646D,4,-2.315,6.282,0.986,Male,Early,37,0,0,0,0
about_2,1120D,3,-0.73,4.243,1.701,Female,Native,32,0,0,0,0
about_2,1121D,,,4.015,1.793,Male,Native,33,1,0,0,0
about_2,1124D,4,-0.262,4.45,1.717,Female,Native,28,0,0,0,0
about_2,1180D,1,-2.322,5.157,1.79,Female,Early,30,0,0,0,0
about_2,1193D,4,-0.644,4.883,1.371,Female,Early,31,0,0,0,0
about_2,1324D,3,-0.323,3.599,1.854,Male,Native,31,0,0,0,0
about_2,1619D,1,-1.357,3.183,1.609,Female,Early,30,0,0,0,0
about_2,1621D,5,0.056,4.899,1.8,Female,Early,31,0,0,0,0
about_2,1625D,,,4.949,1.844,Female,Native,28,1,0,0,0
about_2,1626D,6,-0.006,6.007,1.33,Male,Early,30,0,0,0,0
about_2,1631D,5,0.322,4.436,1.751,Female,Early,28,0,0,0,0
about_2,1636D,3,-1.023,4.83,1.789,Male,Native,27,0,0,0,0
about_2,1638D,4,-0.09,4.159,1.766,Female,Early,27,0,0,0,0
about_2,1639D,4,-0.015,4.019,1.257,Female,Early,28,0,0,0,0
about_2,1692D,4,-0.762,5.253,1.645,Female,Native,32,0,0,0,0
about_2,1714D,1,-2.396,4.567,1.489,Male,Native,24,0,0,0,0
about_2,1721D,3,-0.687,3.954,1.389,Male,Early,24,0,0,0,0
about_2,1725D,3,-0.944,4.21,1.281,Male,Early,24,0,0,0,0
about_2,1728D,4,-1.608,5.919,1.193,Male,Native,52,0,0,0,0
about_2,1729D,7,1.025,5.377,1.583,Female,Native,45,0,0,0,0
about_2,1734D,4,-0.412,4.743,1.806,Female,Native,42,0,0,0,0
accident,0064D,4,-0.353,4.583,1.652,Male,Native,35,0,0,0,0
accident,0129D,4,-0.134,4.226,1.687,Female,Native,29,0,0,0,0
accident,0283D,4,-0.298,4.537,1.802,Female,Native,37,0,0,0,0
accident,0646D,7,0.729,6.282,0.986,Male,Early,37,0,0,0,0
accident,1120D,3,-0.73,4.243,1.701,Female,Native,32,0,0,0,0
accident,1121D,3,-0.566,4.015,1.793,Male,Native,33,0,0,0,0
accident,1124D,3,-0.844,4.45,1.717,Female,Native,28,0,0,0,0
accident,1180D,5,-0.088,5.157,1.79,Female,Early,30,0,0,0,0
accident,1193D,4,-0.644,4.883,1.371,Female,Early,31,0,0,0,0
accident,1324D,1,-1.402,3.599,1.854,Male,Native,31,0,0,0,0
accident,1619D,1,-1.357,3.183,1.609,Female,Early,30,0,0,0,0
accident,1621D,7,1.167,4.899,1.8,Female,Early,31,0,0,0,0
accident,1625D,5,0.027,4.949,1.844,Female,Native,28,0,0,0,0
accident,1626D,7,0.746,6.007,1.33,Male,Early,30,0,0,0,0
accident,1631D,3,-0.82,4.436,1.751,Female,Early,28,0,0,0,0
accident,1636D,5,0.095,4.83,1.789,Male,Native,27,0,0,0,0
accident,1638D,3,-0.656,4.159,1.766,Female,Early,27,0,0,0,0
accident,1639D,2,-1.607,4.019,1.257,Female,Early,28,0,0,0,0
accident,1692D,2,-1.977,5.253,1.645,Female,Native,32,0,0,0,0
accident,1714D,6,0.963,4.567,1.489,Male,Native,24,0,0,0,0
accident,1721D,2,-1.407,3.954,1.389,Male,Early,24,0,0,0,0
accident,1725D,5,0.617,4.21,1.281,Male,Early,24,0,0,0,0
accident,1728D,5,-0.77,5.919,1.193,Male,Native,52,0,0,0,0
accident,1729D,7,1.025,5.377,1.583,Female,Native,45,0,0,0,0
accident,1734D,5,0.142,4.743,1.806,Female,Native,42,0,0,0,0
accomplish,0063D,7,1.311,4.388,1.992,Female,Native,59,0,0,0,0
accomplish,0064D,5,0.369,4.384,1.672,Male,Native,35,0,0,0,0
accomplish,0129D,5,0.59,3.875,1.906,Female,Native,30,0,0,0,0
accomplish,0283D,4,-0.768,5.481,1.93,Female,Native,37,0,0,0,0
accomplish,0804D,5,0.254,4.685,1.238,Male,Native,31,0,0,0,0
accomplish,1120D,4,-0.32,4.519,1.621,Female,Native,32,0,0,0,0
accomplish,1121D,2,-0.912,3.557,1.708,Male,Native,33,0,0,0,0
accomplish,1193D,4,-0.512,4.729,1.424,Female,Early,31,0,0,0,0
accomplish,1270D,4,0.239,3.818,0.763,Male,Early,46,0,0,0,0
accomplish,1324D,5,0.491,4.107,1.819,Male,Native,31,0,0,0,0
accomplish,1545D,4,-0.04,4.068,1.69,Female,Native,20,0,0,0,0
accomplish,1549D,5,0.469,4.304,1.484,Male,Native,25,0,0,0,0
accomplish,1607D,3,-0.742,4.387,1.869,Male,Early,54,0,0,0,0
accomplish,1619D,3,-0.448,3.767,1.71,Female,Early,31,0,0,0,0
accomplish,1621D,7,1.224,4.843,1.761,Female,Early,31,0,0,0,0
accomplish,1638D,6,1.061,4.083,1.806,Female,Early,28,0,0,0,0
accomplish,1639D,3,-0.714,3.958,1.343,Female,Early,28,0,0,0,0
accomplish,1692D,5,0.177,4.668,1.875,Female,Native,32,0,0,0,0
accomplish,1714D,3,-1.116,4.647,1.476,Male,Native,25,0,0,0,0
accomplish,1721D,3,-0.337,3.549,1.629,Male,Early,24,0,0,0,0
accomplish,1728D,4,-0.303,4.379,1.253,Male,Native,53,0,0,0,0
accomplish,1729D,2,-1.04,4.045,1.965,Female,Native,46,0,0,0,0
accomplish,1734D,4,-0.481,4.851,1.769,Female,Native,42,0,0,0,0
accomplish,1741D,3,-0.328,3.651,1.986,Female,Early,33,0,0,0,0
accomplish,1742D,7,0.896,5.32,1.876,Female,Native,54,0,0,0,0
accomplish,1745D,7,0.892,5.506,1.676,Female,Early,59,0,0,0,0
accomplish,1746D,4,0.361,3.389,1.691,Female,Early,55,0,0,0,0
accomplish,1748D,4,0.257,3.468,2.066,Female,Early,56,0,0,0,0
accomplish,1751D,6,0.658,4.53,2.234,Female,Native,50,0,0,0,0
accomplish,1752D,6,0.205,5.688,1.521,Female,Native,42,0,0,0,0
accountant,0001D,1,-0.999,3.033,2.036,Female,Early,36,0,0,0,0
accountant,0064D,5,0.678,3.876,1.659,Male,Native,34,0,0,0,0
accountant,0129D,1,-1.289,3.56,1.985,Female,Native,29,0,0,0,0
accountant,0283D,2,-0.608,3.172,1.928,Female,Native,36,0,0,0,0
accountant,0646D,7,0.907,5.556,1.593,Male,Early,36,0,0,0,0
accountant,1003D,3,-0.152,3.312,2.05,Male,Native,29,0,0,0,0
accountant,1120D,1,-1.089,3.159,1.983,Female,Native,31,0,0,0,0
accountant,1121D,2,-0.722,3.456,2.016,Male,Native,32,0,0,0,0
accountant,1122D,6,0.531,5.1,1.696,Female,Native,25,0,0,0,0
accountant,1124D,1,-1.545,3.922,1.892,Female,Native,28,0,0,0,0
accountant,1180D,5,0.251,4.472,2.1,Female,Early,29,0,0,0,0
accountant,1553D,1,-1.174,3.132,1.815,Male,Native,25,0,0,0,0
accountant,1606D,4,-1.144,5.967,1.719,Male,Early,18,0,0,0,0
accountant,1613D,2,-0.61,3.108,1.817,Female,Early,31,0,0,0,0
accountant,1614D,4,0.231,3.632,1.593,Male,Native,22,0,0,0,0
accountant,1616D,3,-0.748,4.265,1.691,Female,Early,26,0,0,0,0
accountant,1619D,5,1.042,3.112,1.811,Female,Early,30,0,0,0,0
accountant,1620D,6,0.561,4.848,2.054,Male,Native,30,0,0,0,0
accountant,1625D,5,0.437,4.12,2.014,Female,Native,28,0,0,0,0
accountant,1627D,4,-0.764,5.188,1.555,Male,Native,29,0,0,0,0
accountant,1630D,3,-0.576,4.164,2.02,Female,Early,24,0,0,0,0
accountant,1631D,3,-0.651,4.192,1.831,Female,Early,28,0,0,0,0
accountant,1636D,4,-0.042,4.084,1.997,Male,Native,26,0,0,0,0
accountant,1638D,2,-0.635,3.184,1.864,Female,Early,27,0,0,0,0
accountant,1649D,1,-1.418,4.182,2.244,Female,Native,58,0,0,0,0
act,0064D,5,0.253,4.583,1.652,Male,Native,35,0,0,0,0
act,0129D,5,0.459,4.226,1.687,Female,Native,29,0,0,0,0
act,0283D,5,0.257,4.537,1.802,Female,Native,37,0,0,0,0
act,0646D,7,0.729,6.282,0.986,Male,Early,37,0,0,0,0
act,1120D,4,-0.143,4.243,1.701,Female,Native,32,0,0,0,0
act,1121D,3,-0.566,4.015,1.793,Male,Native,33,0,0,0,0
act,1124D,3,-0.844,4.45,1.717,Female,Native,28,0,0,0,0
act,1180D,4,-0.646,5.157,1.79,Female,Early,30,0,0,0,0
act,1193D,5,0.085,4.883,1.371,Female,Early,31,0,0,0,0
act,1324D,4,0.217,3.599,1.854,Male,Native,31,0,0,0,0
act,1619D,3,-0.114,3.183,1.609,Female,Early,30,0,0,0,0
act,1621D,4,-0.499,4.899,1.8,Female,Early,31,0,0,0,0
act,1625D,5,0.027,4.949,1.844,Female,Native,28,0,0,0,0
act,1626D,7,0.746,6.007,1.33,Male,Early,30,0,0,0,0
act,1631D,3,-0.82,4.436,1.751,Female,Early,28,0,0,0,0
act,1636D,5,0.095,4.83,1.789,Male,Native,27,0,0,0,0
act,1638D,4,-0.09,4.159,1.766,Female,Early,27,0,0,0,0
act,1639D,4,-0.015,4.019,1.257,Female,Early,28,0,0,0,0
act,1692D,4,-0.762,5.253,1.645,Female,Native,32,0,0,0,0
act,1714D,4,-0.381,4.567,1.489,Male,Native,24,0,0,0,0
act,1721D,2,-1.407,3.954,1.389,Male,Early,24,0,0,0,0
act,1725D,4,-0.164,4.21,1.281,Male,Early,24,0,0,0,0
act,1728D,6,0.068,5.919,1.193,Male,Native,52,0,0,0,0
act,1729D,4,-0.87,5.377,1.583,Female,Native,45,0,0,0,0
act,1734D,3,-0.965,4.743,1.806,Female,Native,42,0,0,0,0
action,0063D,7,1.311,4.388,1.992,Female,Native,59,0,0,0,0
action,0064D,4,-0.229,4.384,1.672,Male,Native,35,0,0,0,0
action,0129D,4,0.066,3.875,1.906,Female,Native,30,0,0,0,0
action,0283D,5,-0.25,5.481,1.93,Female,Native,37,0,0,0,0
action,0804D,4,-0.554,4.685,1.238,Male,Native,31,0,0,0,0
action,1120D,5,0.297,4.519,1.621,Female,Native,32,0,0,0,0
action,1121D,3,-0.326,3.557,1.708,Male,Native,33,0,0,0,0
action,1193D,6,0.892,4.729,1.424,Female,Early,31,0,0,0,0
action,1270D,3,-1.072,3.818,0.763,Male,Early,46,0,0,0,0
action,1324D,5,0.491,4.107,1.819,Male,Native,31,0,0,0,0
action,1545D,5,0.552,4.068,1.69,Female,Native,20,0,0,0,0
action,1549D,4,-0.205,4.304,1.484,Male,Native,25,0,0,0,0
action,1607D,1,-1.812,4.387,1.869,Male,Early,54,0,0,0,0
action,1619D,4,0.136,3.767,1.71,Female,Early,31,0,0,0,0
action,1621D,5,0.089,4.843,1.761,Female,Early,31,0,0,0,0
action,1638D,5,0.508,4.083,1.806,Female,Early,28,0,0,0,0
action,1639D,3,-0.714,3.958,1.343,Female,Early,28,0,0,0,0
action,1692D,7,1.243,4.668,1.875,Female,Native,32,0,0,0,0
action,1714D,4,-0.438,4.647,1.476,Male,Native,25,0,0,0,0
action,1721D,5,0.891,3.549,1.629,Male,Early,24,0,0,0,0
action,1728D,5,0.496,4.379,1.253,Male,Native,53,0,0,0,0
action,1729D,5,0.486,4.045,1.965,Female,Native,46,0,0,0,0
action,1734D,6,0.649,4.851,1.769,Female,Native,42,0,0,0,0
action,1741D,3,-0.328,3.651,1.986,Female,Early,33,0,0,0,0
action,1742D,6,0.363,5.32,1.876,Female,Native,54,0,0,0,0
action,1745D,6,0.295,5.506,1.676,Female,Early,59,0,0,0,0
action,1746D,2,-0.821,3.389,1.691,Female,Early,55,0,0,0,0
action,1748D,4,0.257,3.468,2.066,Female,Early,56,0,0,0,0
action,1751D,4,-0.237,4.53,2.234,Female,Native,50,0,0,0,0
action,1752D,6,0.205,5.688,1.521,Female,Native,42,0,0,0,0
actor,0001D,7,1.948,3.033,2.036,Female,Early,36,0,0,0,0
actor,0064D,5,0.678,3.876,1.659,Male,Native,34,0,0,0,0
actor,0129D,4,0.222,3.56,1.985,Female,Native,29,0,0,0,0
actor,0283D,4,0.429,3.172,1.928,Female,Native,36,0,0,0,0
actor,0646D,6,0.279,5.556,1.593,Male,Early,36,0,0,0,0
actor,1003D,6,1.311,3.312,2.05,Male,Native,29,0,0,0,0
actor,1120D,3,-0.08,3.159,1.983,Female,Native,31,0,0,0,0
actor,1121D,5,0.766,3.456,2.016,Male,Native,32,0,0,0,0
actor,1122D,6,0.531,5.1,1.696,Female,Native,25,0,0,0,0
actor,1124D,2,-1.016,3.922,1.892,Female,Native,28,0,0,0,0
actor,1180D,4,-0.225,4.472,2.1,Female,Early,29,0,0,0,0
actor,1553D,5,1.029,3.132,1.815,Male,Native,25,0,0,0,0
actor,1606D,7,0.601,5.967,1.719,Male,Early,18,0,0,0,0
actor,1613D,2,-0.61,3.108,1.817,Female,Early,31,0,0,0,0
actor,1614D,4,0.231,3.632,1.593,Male,Native,22,0,0,0,0
actor,1616D,3,-0.748,4.265,1.691,Female,Early,26,0,0,0,0
actor,1619D,3,-0.062,3.112,1.811,Female,Early,30,0,0,0,0
actor,1620D,7,1.048,4.848,2.054,Male,Native,30,0,0,0,0
actor,1625D,5,0.437,4.12,2.014,Female,Native,28,0,0,0,0
actor,1627D,5,-0.121,5.188,1.555,Male,Native,29,0,0,0,0
actor,1630D,6,0.909,4.164,2.02,Female,Early,24,0,0,0,0
actor,1631D,3,-0.651,4.192,1.831,Female,Early,28,0,0,0,0
actor,1636D,5,0.459,4.084,1.997,Male,Native,26,0,0,0,0
actor,1638D,2,-0.635,3.184,1.864,Female,Early,27,0,0,0,0
actor,1649D,2,-0.972,4.182,2.244,Female,Native,58,0,0,0,0
address,0064D,7,1.557,4.131,1.843,Male,Native,35,0,0,0,0
address,0129D,6,1,4.09,1.91,Female,Native,30,0,0,0,0
address,0283D,4,-0.418,4.829,1.982,Female,Native,38,0,0,0,0
address,0735D,4,-0.439,4.802,1.827,Female,Early,57,0,0,0,0
address,0804D,6,1.236,4.509,1.206,Male,Native,31,0,0,0,0
address,1120D,2,-1.08,3.867,1.729,Female,Native,32,0,0,0,0
address,1121D,5,1.029,3.446,1.51,Male,Native,34,0,0,0,0
address,1324D,4,0.141,3.746,1.802,Male,Native,31,0,0,0,0
address,1352D,6,0.793,4.327,2.111,Female,Native,39,0,0,0,0
address,1545D,3,-0.44,3.742,1.686,Female,Native,20,0,0,0,0
address,1607D,6,0.805,4.591,1.749,Male,Early,55,0,0,0,0
address,1619D,4,0.069,3.889,1.615,Female,Early,31,0,0,0,0
address,1621D,5,0.278,4.534,1.676,Female,Early,31,0,0,0,0
address,1638D,4,0.227,3.607,1.736,Female,Early,28,0,0,0,0
address,1639D,1,-1.778,4.142,1.767,Female,Early,28,0,0,0,0
address,1692D,6,0.532,4.846,2.17,Female,Native,32,0,0,0,0
address,1721D,5,1.178,3.272,1.467,Male,Early,24,0,0,0,0
address,1729D,5,0.251,4.542,1.829,Female,Native,46,0,0,0,0
address,1738D,7,1.51,4.075,1.937,Female,Native,22,0,0,0,0
address,1741D,7,1.811,3.374,2.002,Female,Early,32,0,0,0,0
address,1742D,6,0.614,4.891,1.808,Female,Native,55,0,0,0,0
address,1745D,6,0.019,5.978,1.186,Female,Early,59,0,0,0,0
address,1746D,4,0.05,3.924,1.52,Female,Early,55,0,0,0,0
address,1748D,4,0.414,3.226,1.871,Female,Early,56,0,0,0,0
address,1751D,6,0.87,4.104,2.18,Female,Native,51,0,0,0,0
address,1762D,4,-0.004,4.007,1.939,Female,Native,51,0,0,0,0
address,1773D,5,0.855,3.733,1.482,Female,Native,22,0,0,0,0
adult,0063D,6,0.809,4.388,1.992,Female,Native,59,0,0,0,0
adult,0064D,4,-0.229,4.384,1.672,Male,Native,35,0,0,0,0
adult,0129D,5,0.59,3.875,1.906,Female,Native,30,0,0,0,0
adult,0283D,4,-0.768,5.481,1.93,Female,Native,37,0,0,0,0
adult,0804D,5,0.254,4.685,1.238,Male,Native,31,0,0,0,0
