Code,MajorLocation,SignType,Movement,ThumbPosition
G_03_60,Hand,AsymmetricalDifferentHandshape,Circular,Closed
H_02_15,Hand,AsymmetricalDifferentHandshape,Circular,Open
F_03_72,Neutral,SymmetricalOrAlternating,Curved,Closed
J_03_022,Head,OneHanded,Curved,Open
C_03_043,Arm,OneHanded,Straight,Open
K_01_095,Arm,OneHanded,Straight,Closed
K_02_002,Arm,OneHanded,Straight,Open
B_01_059,Body,SymmetricalOrAlternating,Straight,Open
H_03_74,Neutral,SymmetricalOrAlternating,Straight,Open
K_01_023,Body,SymmetricalOrAlternating,Straight,Open
K_03_036,Arm,OneHanded,Straight,Open
D_01_073,Hand,AsymmetricalSameHandshape,Circular,Open
C_01_075,Hand,AsymmetricalDifferentHandshape,BackAndForth,Closed
J_02_041,Hand,AsymmetricalDifferentHandshape,Straight,Open
J_01_014,Neutral,SymmetricalOrAlternating,Curved,Closed
A_01_078,Neutral,OneHanded,Circular,Open
B_02_023,Neutral,OneHanded,None,Closed
J_03_096,Body,OneHanded,Straight,Open
H_02_36,Body,OneHanded,Curved,Closed
J_03_093,Hand,AsymmetricalSameHandshape,Straight,Open
F_03_76,Hand,AsymmetricalSameHandshape,Straight,Open
F_02_13,Hand,AsymmetricalDifferentHandshape,Straight,Closed
J_01_055,Hand,AsymmetricalSameHandshape,Straight,Open
J_03_068,Neutral,OneHanded,Straight,Open
K_03_107,Body,OneHanded,Curved,Open
A_03_089,Head,SymmetricalOrAlternating,Straight,Open
J_03_091,Body,OneHanded,Circular,Open
F_01_72,Neutral,SymmetricalOrAlternating,Curved,Open
F_02_21,Neutral,SymmetricalOrAlternating,Curved,Open
E_02_27,Head,OneHanded,None,Open
J_03_035,Neutral,SymmetricalOrAlternating,Curved,Open
F_03_11,Head,SymmetricalOrAlternating,Straight,Open
K_01_040,Body,AsymmetricalDifferentHandshape,Curved,Open
J_01_048,Hand,AsymmetricalDifferentHandshape,BackAndForth,Closed
G_03_50,Hand,AsymmetricalSameHandshape,Straight,Open
E_01_40,Hand,AsymmetricalSameHandshape,Straight,Open
G_01_78,Head,SymmetricalOrAlternating,Straight,Open
K_01_114,Neutral,SymmetricalOrAlternating,Curved,Open
F_02_71,Neutral,OneHanded,Curved,Open
B_01_022,Neutral,SymmetricalOrAlternating,Straight,Open
F_01_13,Arm,OneHanded,Straight,Open
G_03_66,Arm,OneHanded,Curved,Open
C_01_017,Neutral,SymmetricalOrAlternating,Straight,Open
K_01_042,Body,OneHanded,Straight,Open
F_03_61,Neutral,SymmetricalOrAlternating,Straight,Open
E_01_59,Head,OneHanded,Curved,Open
D_03_029,Body,OneHanded,Straight,Open
F_01_41,Hand,AsymmetricalDifferentHandshape,Curved,Closed
G_03_91,Body,SymmetricalOrAlternating,Circular,Open
G_01_64,Body,SymmetricalOrAlternating,Circular,Open
F_03_3,Body,OneHanded,Straight,Open
A_03_073,Neutral,SymmetricalOrAlternating,Straight,Open
B_02_082,Head,OneHanded,Curved,Open
F_03_96,Body,SymmetricalOrAlternating,Straight,Open
A_01_064,Neutral,OneHanded,Straight,Closed
K_02_015,Arm,OneHanded,Curved,Closed
A_01_060,Hand,AsymmetricalSameHandshape,Straight,Closed
B_01_051,Hand,AsymmetricalSameHandshape,Straight,Open
C_02_046,Neutral,SymmetricalOrAlternating,Straight,Open
F_02_100,Head,OneHanded,Circular,Open
C_02_044,Neutral,SymmetricalOrAlternating,Straight,Open
A_02_086,Head,SymmetricalOrAlternating,Straight,Closed
A_03_002,Hand,AsymmetricalDifferentHandshape,Other,Open
K_02_097,Hand,AsymmetricalDifferentHandshape,Straight,Open
K_03_014,Hand,AsymmetricalSameHandshape,BackAndForth,Closed
K_01_061,Hand,AsymmetricalDifferentHandshape,Straight,Open
F_02_20,Hand,AsymmetricalDifferentHandshape,Straight,Closed
F_03_20,Hand,AsymmetricalSameHandshape,Circular,Closed
H_01_88,Hand,AsymmetricalDifferentHandshape,Curved,Closed
D_02_032,Neutral,OneHanded,BackAndForth,Closed
A_03_072,Head,OneHanded,Straight,Open
H_03_37,Head,OneHanded,Straight,Open
J_02_051,Neutral,SymmetricalOrAlternating,Curved,Open
K_01_074,Neutral,SymmetricalOrAlternating,None,Open
K_02_096,Head,OneHanded,Straight,Open
G_01_101,Head,OneHanded,None,Open
A_03_043,Neutral,SymmetricalOrAlternating,Straight,Closed
G_02_72,Head,OneHanded,Straight,Open
C_01_034,Hand,AsymmetricalDifferentHandshape,Circular,Open
E_01_101,Hand,AsymmetricalSameHandshape,Circular,Open
G_03_70,Arm,OneHanded,Curved,Closed
E_01_60,Neutral,SymmetricalOrAlternating,Curved,Open
A_03_045,Neutral,SymmetricalOrAlternating,None,Open
H_02_4,Neutral,OneHanded,Straight,Open
K_01_013,Neutral,SymmetricalOrAlternating,,Open
G_03_53,Neutral,OneHanded,None,Open
F_03_43,Body,SymmetricalOrAlternating,None,Closed
E_01_21,Neutral,SymmetricalOrAlternating,Straight,Closed
F_02_28,Neutral,SymmetricalOrAlternating,Curved,Closed
B_01_019,Body,SymmetricalOrAlternating,Straight,Open
A_02_051,Neutral,OneHanded,None,Open
K_02_101,Body,SymmetricalOrAlternating,Curved,Open
D_02_089,Neutral,SymmetricalOrAlternating,Straight,Closed
G_02_29,Hand,AsymmetricalDifferentHandshape,BackAndForth,Open
G_03_48,Head,OneHanded,Curved,Open
E_03_91,Head,SymmetricalOrAlternating,Straight,Open
E_02_69,Hand,AsymmetricalDifferentHandshape,Straight,Open
D_03_063,Body,SymmetricalOrAlternating,Straight,Open
C_03_085,Head,SymmetricalOrAlternating,Curved,Open
D_03_020,Neutral,OneHanded,Curved,Closed
F_02_67,Arm,OneHanded,Straight,Open
B_01_049,Head,OneHanded,Curved,Open
H_02_8,Neutral,SymmetricalOrAlternating,Curved,Open
A_03_037,Head,OneHanded,Straight,Open
K_03_004,Head,SymmetricalOrAlternating,Straight,Open
D_01_056,Head,SymmetricalOrAlternating,None,Open
E_03_18,Head,OneHanded,None,Open
J_02_101,Head,OneHanded,None,Open
B_03_062,Head,OneHanded,Straight,Closed
G_02_53,Hand,AsymmetricalSameHandshape,Curved,Open
F_02_37,Neutral,OneHanded,None,Open
C_02_036,Neutral,SymmetricalOrAlternating,Curved,Closed
B_02_048,Hand,AsymmetricalSameHandshape,Curved,Open
D_02_049,Head,OneHanded,None,Closed
G_02_11,Head,OneHanded,None,Open
G_02_18,Hand,AsymmetricalDifferentHandshape,BackAndForth,Open
A_03_036,Body,SymmetricalOrAlternating,Curved,Open
E_02_93,Body,SymmetricalOrAlternating,Curved,Closed
G_03_31,Neutral,SymmetricalOrAlternating,Curved,Open
C_02_056,Body,OneHanded,Straight,Open
E_01_95,Hand,AsymmetricalDifferentHandshape,None,Open
F_02_62,Head,OneHanded,Curved,Open
F_02_27,Neutral,SymmetricalOrAlternating,None,Closed
F_01_62,Head,OneHanded,Curved,Open
J_03_003,Hand,AsymmetricalSameHandshape,Straight,Open
E_02_103,Body,SymmetricalOrAlternating,Curved,Closed
D_02_026,Neutral,SymmetricalOrAlternating,Circular,Closed
F_02_54,Neutral,SymmetricalOrAlternating,Curved,Open
E_03_92,Neutral,SymmetricalOrAlternating,Other,Open
A_03_074,Head,SymmetricalOrAlternating,Straight,Open
A_02_015,Neutral,SymmetricalOrAlternating,Circular,Closed
A_01_041,Head,OneHanded,None,Open
C_02_076,Hand,AsymmetricalSameHandshape,Curved,Open
D_01_054,Head,OneHanded,None,Open
E_02_68,Head,SymmetricalOrAlternating,Curved,Open
H_01_58,Head,OneHanded,Straight,Closed
G_02_99,Hand,AsymmetricalDifferentHandshape,Curved,Open
K_02_045,Neutral,OneHanded,Straight,Open
K_03_082,Arm,OneHanded,Straight,Open
E_03_35,Body,OneHanded,Curved,Open
B_02_006,Head,OneHanded,Straight,Closed
K_03_124,Head,OneHanded,Straight,Closed
G_01_5,Hand,AsymmetricalDifferentHandshape,Straight,Open
H_02_6,Neutral,SymmetricalOrAlternating,Straight,Open
A_03_032,Body,SymmetricalOrAlternating,Straight,Closed
J_03_075,Head,OneHanded,None,Closed
G_02_16,Head,SymmetricalOrAlternating,None,Open
B_01_016,Head,OneHanded,Curved,Closed
B_02_081,Neutral,SymmetricalOrAlternating,None,Closed
C_03_014,Neutral,SymmetricalOrAlternating,Straight,Open
G_02_55,Head,SymmetricalOrAlternating,Straight,Open
E_02_102,Head,OneHanded,None,Open
C_01_087,Head,OneHanded,None,Closed
G_03_14,Neutral,SymmetricalOrAlternating,None,Open
J_02_104,Body,OneHanded,Curved,Open
E_02_96,Head,SymmetricalOrAlternating,Curved,Open
K_01_070,Head,AsymmetricalSameHandshape,None,Open
K_02_022,Neutral,OneHanded,None,Closed
F_02_45,Head,OneHanded,None,Closed
C_02_062,Neutral,OneHanded,None,Closed
J_03_088,Neutral,SymmetricalOrAlternating,Curved,Closed
J_03_100,Head,SymmetricalOrAlternating,None,Open
J_01_105,Body,OneHanded,Curved,Closed
D_01_055,Neutral,SymmetricalOrAlternating,Curved,Open
B_01_047,Body,SymmetricalOrAlternating,Straight,Open
G_03_101,Neutral,SymmetricalOrAlternating,Circular,Open
K_03_054,Hand,AsymmetricalDifferentHandshape,Circular,Open
H_02_25,Body,AsymmetricalDifferentHandshape,None,Open
F_01_89,Neutral,OneHanded,Straight,Closed
F_02_55,Neutral,SymmetricalOrAlternating,Straight,Closed
C_03_015,Neutral,SymmetricalOrAlternating,Straight,Closed
A_01_027,Neutral,SymmetricalOrAlternating,Curved,Open
E_01_37,Hand,AsymmetricalSameHandshape,Curved,Open
C_03_019,Neutral,SymmetricalOrAlternating,Straight,Closed
K_03_101,Neutral,SymmetricalOrAlternating,Straight,Closed
B_01_017,Head,OneHanded,Straight,Closed
K_03_122,Head,AsymmetricalSameHandshape,None,Closed
B_03_055,Neutral,SymmetricalOrAlternating,Curved,Open
B_02_052,Body,OneHanded,Straight,Open
J_03_001,Neutral,OneHanded,Straight,Closed
H_01_76,Hand,AsymmetricalDifferentHandshape,Straight,Closed
H_01_40,Hand,AsymmetricalSameHandshape,Straight,Open
D_02_064,Hand,AsymmetricalDifferentHandshape,Straight,Open
F_01_66,Neutral,OneHanded,None,Open
H_03_57,Neutral,OneHanded,Straight,Open
F_03_65,Head,SymmetricalOrAlternating,None,Closed
G_02_63,Neutral,SymmetricalOrAlternating,Straight,Open
F_01_60,Hand,AsymmetricalDifferentHandshape,Curved,Closed
K_02_016,Body,OneHanded,None,Open
C_03_049,Neutral,SymmetricalOrAlternating,Curved,Open
A_02_003,Neutral,OneHanded,Curved,Open
K_01_067,Neutral,OneHanded,Curved,Open
A_01_044,Body,SymmetricalOrAlternating,None,Closed
C_03_025,Neutral,SymmetricalOrAlternating,None,Open
F_03_50,Neutral,SymmetricalOrAlternating,Circular,Closed
B_02_090,Head,OneHanded,None,Open
G_02_58,Head,OneHanded,None,Open
A_03_028,Body,SymmetricalOrAlternating,Straight,Open
K_01_090,Body,OneHanded,Straight,Open
K_02_039,Body,OneHanded,Straight,Open
A_03_024,Arm,OneHanded,Straight,Open
B_03_011,Body,SymmetricalOrAlternating,Straight,Open
K_03_125,Head,SymmetricalOrAlternating,Straight,Closed
F_01_78,Hand,AsymmetricalDifferentHandshape,Straight,Open
J_01_103,Head,OneHanded,None,Closed
E_01_30,Head,OneHanded,None,Closed
B_03_050,Body,SymmetricalOrAlternating,Straight,Open
A_02_058,Hand,AsymmetricalDifferentHandshape,Straight,Open
D_01_069,Neutral,SymmetricalOrAlternating,Curved,Closed
F_01_30,Neutral,SymmetricalOrAlternating,Straight,Open
B_01_064,Neutral,SymmetricalOrAlternating,Straight,Open
F_01_73,Head,OneHanded,Straight,Open
J_01_053,Head,OneHanded,Circular,Closed
J_01_047,Hand,AsymmetricalDifferentHandshape,Straight,Closed
D_03_051,Body,SymmetricalOrAlternating,BackAndForth,Open
H_02_85,Neutral,SymmetricalOrAlternating,Straight,Open
A_03_016,Neutral,SymmetricalOrAlternating,Straight,Closed
A_03_081,Arm,OneHanded,Curved,Closed
K_01_018,Arm,OneHanded,Curved,Closed
F_03_28,Neutral,SymmetricalOrAlternating,Curved,Open
F_03_4,Neutral,SymmetricalOrAlternating,Straight,Open
J_02_096,Hand,AsymmetricalDifferentHandshape,Straight,Open
B_01_065,Head,OneHanded,None,Open
D_03_045,Head,OneHanded,Straight,Closed
A_01_072,Head,OneHanded,Straight,Open
E_02_52,Head,SymmetricalOrAlternating,Straight,Closed
K_02_056,Neutral,AsymmetricalSameHandshape,Curved,Closed
K_03_073,Hand,AsymmetricalDifferentHandshape,Curved,Closed
E_01_99,Hand,AsymmetricalSameHandshape,Other,Open
F_03_33,Head,OneHanded,None,Open
B_01_067,Head,OneHanded,None,Open
A_03_088,Neutral,SymmetricalOrAlternating,Straight,Open
E_01_98,Head,OneHanded,Straight,Open
E_01_83,Hand,AsymmetricalDifferentHandshape,Straight,Open
J_03_053,Neutral,OneHanded,Straight,Closed
K_01_123,Hand,AsymmetricalDifferentHandshape,Curved,Open
K_03_121,Head,OneHanded,Circular,Open
J_02_037,Neutral,SymmetricalOrAlternating,Straight,Open
F_03_9,Body,OneHanded,None,Open
K_01_081,Neutral,SymmetricalOrAlternating,Curved,Open
K_02_014,Hand,AsymmetricalDifferentHandshape,Straight,Closed
K_03_018,Hand,AsymmetricalSameHandshape,Straight,Open
K_02_093,Neutral,SymmetricalOrAlternating,Straight,Open
E_01_4,Neutral,OneHanded,None,Closed
D_01_022,Hand,AsymmetricalSameHandshape,BackAndForth,Closed
G_01_22,Neutral,SymmetricalOrAlternating,Curved,Open
E_02_40,Hand,AsymmetricalSameHandshape,Straight,Closed
D_03_030,Neutral,SymmetricalOrAlternating,Curved,Closed
A_01_034,Hand,AsymmetricalDifferentHandshape,Straight,Open
A_03_056,Neutral,SymmetricalOrAlternating,None,Open
F_02_25,Body,OneHanded,Straight,Open
D_03_074,Hand,AsymmetricalDifferentHandshape,Straight,Open
E_01_58,Neutral,OneHanded,None,Open
B_01_073,Head,OneHanded,Straight,Open
B_03_030,Neutral,AsymmetricalSameHandshape,Straight,Closed
A_02_054,Head,OneHanded,Other,Open
D_01_033,Hand,AsymmetricalDifferentHandshape,Straight,Open
E_03_103,Hand,AsymmetricalDifferentHandshape,Circular,Open
D_02_061,Hand,AsymmetricalSameHandshape,Straight,Closed
H_02_38,Head,OneHanded,None,Open
C_02_061,Head,OneHanded,Curved,Open
J_02_048,Hand,AsymmetricalSameHandshape,Straight,Closed
C_01_038,Hand,AsymmetricalDifferentHandshape,Straight,Open
B_03_026,Hand,AsymmetricalDifferentHandshape,Straight,Closed
G_03_4,Neutral,SymmetricalOrAlternating,Curved,Closed
E_03_21,Neutral,OneHanded,Straight,Open
G_01_42,Neutral,OneHanded,BackAndForth,Open
B_03_073,Head,AsymmetricalDifferentHandshape,None,Open
E_02_34,Head,AsymmetricalSameHandshape,Circular,Open
A_01_045,Neutral,SymmetricalOrAlternating,Curved,Closed
D_03_027,Neutral,SymmetricalOrAlternating,Straight,Closed
K_02_027,Hand,AsymmetricalDifferentHandshape,Curved,Open
C_03_034,Body,OneHanded,Straight,Open
C_02_017,Hand,AsymmetricalDifferentHandshape,X-shaped,Closed
G_03_56,Neutral,OneHanded,Straight,Open
F_01_47,Hand,AsymmetricalDifferentHandshape,Straight,Open
C_03_060,Hand,AsymmetricalDifferentHandshape,None,Open
A_01_018,Head,OneHanded,None,Closed
D_02_079,Head,OneHanded,None,Open
G_02_37,Arm,OneHanded,Straight,Closed
E_02_94,Hand,AsymmetricalSameHandshape,Curved,Closed
D_01_045,Neutral,SymmetricalOrAlternating,Curved,Closed
F_01_4,Body,SymmetricalOrAlternating,Straight,Open
C_02_086,Neutral,SymmetricalOrAlternating,Straight,Open
H_03_48,Hand,AsymmetricalDifferentHandshape,Straight,Open
D_02_043,Neutral,SymmetricalOrAlternating,Curved,Closed
E_03_29,Neutral,SymmetricalOrAlternating,Straight,Open
E_01_39,Neutral,SymmetricalOrAlternating,Straight,Open
J_03_065,Hand,AsymmetricalSameHandshape,Straight,Open
B_03_039,Neutral,SymmetricalOrAlternating,Straight,Open
E_01_63,Neutral,SymmetricalOrAlternating,Circular,Closed
A_02_083,Head,OneHanded,None,Closed
K_01_105,Head,OneHanded,Straight,Closed
K_03_075,Head,OneHanded,Straight,Open
J_02_042,Neutral,SymmetricalOrAlternating,Straight,Open
K_02_026,Hand,AsymmetricalDifferentHandshape,Curved,Open
A_01_008,Neutral,SymmetricalOrAlternating,Straight,Closed
K_01_017,Neutral,SymmetricalOrAlternating,Other,Closed
K_02_019,Neutral,SymmetricalOrAlternating,Other,Open
K_03_110,Neutral,SymmetricalOrAlternating,Curved,Open
H_02_50,Neutral,SymmetricalOrAlternating,Other,Open
A_01_023,Head,OneHanded,Straight,Open
K_02_047,Head,SymmetricalOrAlternating,Straight,Open
K_03_087,Head,SymmetricalOrAlternating,Straight,Open
E_03_83,Neutral,OneHanded,Curved,Open
G_02_33,Neutral,SymmetricalOrAlternating,Straight,Open
J_01_073,Neutral,OneHanded,Straight,Open
K_03_109,Neutral,OneHanded,Straight,Open
H_03_15,Neutral,OneHanded,Straight,Open
K_02_058,Hand,AsymmetricalDifferentHandshape,Curved,Closed
E_01_34,Neutral,SymmetricalOrAlternating,Curved,Open
G_01_25,Hand,AsymmetricalDifferentHandshape,Straight,Closed
B_03_052,Head,OneHanded,Straight,Closed
H_02_69,Hand,AsymmetricalDifferentHandshape,Curved,Open
D_01_088,Neutral,SymmetricalOrAlternating,Straight,Closed
J_01_091,Head,SymmetricalOrAlternating,Straight,Open
J_02_100,Head,SymmetricalOrAlternating,Circular,Closed
G_02_48,Head,OneHanded,Curved,Closed
K_01_128,Head,OneHanded,Straight,Open
H_01_37,Neutral,SymmetricalOrAlternating,Curved,Open
C_01_027,Hand,AsymmetricalSameHandshape,Circular,Open
A_02_014,Head,OneHanded,Straight,Closed
B_01_080,Neutral,SymmetricalOrAlternating,Straight,Open
E_02_55,Neutral,SymmetricalOrAlternating,Straight,Open
A_01_017,Hand,AsymmetricalSameHandshape,Straight,Closed
B_03_051,Neutral,SymmetricalOrAlternating,Straight,Open
J_03_030,Hand,AsymmetricalDifferentHandshape,Straight,Open
G_01_81,Hand,AsymmetricalDifferentHandshape,BackAndForth,Open
A_03_080,Neutral,SymmetricalOrAlternating,Curved,Open
E_01_31,Neutral,SymmetricalOrAlternating,Curved,Closed
C_03_023,Neutral,OneHanded,None,Open
F_01_37,Neutral,SymmetricalOrAlternating,Curved,Open
B_02_088,Body,OneHanded,Circular,Open
F_01_25,Hand,AsymmetricalDifferentHandshape,Straight,Closed
E_02_56,Hand,AsymmetricalDifferentHandshape,BackAndForth,Closed
F_03_17,Hand,AsymmetricalSameHandshape,Other,Open
C_01_079,Neutral,SymmetricalOrAlternating,Straight,Open
F_02_56,Hand,AsymmetricalSameHandshape,Curved,Closed
A_02_008,Hand,AsymmetricalDifferentHandshape,Straight,Open
D_01_027,Arm,OneHanded,Straight,Closed
B_03_040,Hand,AsymmetricalDifferentHandshape,Other,Open
G_03_52,Head,OneHanded,Straight,Open
J_03_060,Head,SymmetricalOrAlternating,Circular,Closed
H_02_45,Neutral,SymmetricalOrAlternating,Other,Closed
K_01_016,Body,SymmetricalOrAlternating,Straight,Closed
A_02_021,Hand,AsymmetricalSameHandshape,None,Open
F_03_64,Hand,AsymmetricalDifferentHandshape,Curved,Open
J_02_033,Head,SymmetricalOrAlternating,Straight,Open
C_01_083,Hand,AsymmetricalDifferentHandshape,None,Open
K_02_113,Hand,AsymmetricalDifferentHandshape,None,Open
G_02_91,Head,OneHanded,None,Closed
J_02_027,Neutral,OneHanded,Circular,Open
K_01_100,Head,OneHanded,Circular,Open
K_02_041,Hand,AsymmetricalDifferentHandshape,Other,Open
K_03_094,Head,SymmetricalOrAlternating,Straight,Open
D_01_043,Neutral,OneHanded,BackAndForth,Open
F_03_101,Neutral,OneHanded,Straight,Open
C_02_066,Neutral,SymmetricalOrAlternating,Straight,Open
E_02_64,Hand,AsymmetricalSameHandshape,Straight,Open
E_01_20,Head,OneHanded,None,Open
F_02_70,Head,OneHanded,None,Closed
D_03_061,Body,OneHanded,None,Closed
F_03_41,Hand,AsymmetricalDifferentHandshape,Straight,Closed
B_01_002,Hand,AsymmetricalDifferentHandshape,Circular,Open
G_01_79,Body,OneHanded,Straight,Open
F_02_99,Hand,AsymmetricalSameHandshape,Other,Open
G_01_63,Neutral,OneHanded,None,Closed
F_03_29,Neutral,OneHanded,Curved,Open
G_03_97,Head,OneHanded,Straight,Open
J_03_061,Neutral,OneHanded,Curved,Open
C_02_018,Hand,AsymmetricalDifferentHandshape,Straight,Open
E_01_46,Neutral,SymmetricalOrAlternating,Straight,Closed
B_02_055,Head,OneHanded,Straight,Open
C_01_059,Hand,AsymmetricalDifferentHandshape,Straight,Closed
E_02_62,Neutral,OneHanded,Circular,Closed
F_01_29,Head,OneHanded,Other,Open
H_02_65,Neutral,SymmetricalOrAlternating,Circular,Closed
B_01_029,Neutral,SymmetricalOrAlternating,Straight,Open
K_02_076,Neutral,SymmetricalOrAlternating,Other,Open
G_01_96,Neutral,SymmetricalOrAlternating,Straight,Open
K_01_032,Neutral,SymmetricalOrAlternating,BackAndForth,Open
B_03_068,Neutral,SymmetricalOrAlternating,None,Open
F_03_13,Neutral,SymmetricalOrAlternating,None,Closed
G_02_71,Hand,AsymmetricalDifferentHandshape,Curved,Open
E_03_82,Hand,AsymmetricalSameHandshape,Curved,Open
D_01_006,Neutral,SymmetricalOrAlternating,Straight,Open
E_01_54,Head,OneHanded,Straight,Closed
E_01_45,Head,OneHanded,Straight,Closed
G_01_47,Neutral,OneHanded,BackAndForth,Open
J_01_031,Body,SymmetricalOrAlternating,Straight,Open
F_01_103,Neutral,SymmetricalOrAlternating,Straight,Open
J_01_083,Hand,AsymmetricalDifferentHandshape,Straight,Closed
D_02_076,Arm,OneHanded,Straight,Closed
K_02_038,Neutral,SymmetricalOrAlternating,Curved,Open
G_03_84,Neutral,SymmetricalOrAlternating,Curved,Closed
H_03_61,Neutral,SymmetricalOrAlternating,Curved,Closed
E_01_68,Head,SymmetricalOrAlternating,None,Open
F_03_97,Hand,AsymmetricalDifferentHandshape,Straight,Closed
E_01_91,Neutral,SymmetricalOrAlternating,Straight,Closed
E_03_96,Body,SymmetricalOrAlternating,Curved,Open
A_01_077,Head,SymmetricalOrAlternating,Circular,Open
D_01_092,Neutral,SymmetricalOrAlternating,Circular,Open
K_02_071,Neutral,SymmetricalOrAlternating,Straight,Open
K_03_059,Neutral,SymmetricalOrAlternating,Circular,Open
A_03_026,Head,OneHanded,None,Open
F_03_82,Head,OneHanded,Straight,Open
H_02_83,Body,OneHanded,Curved,Open
D_02_040,Arm,OneHanded,None,Open
F_03_44,Head,OneHanded,Curved,Open
A_02_088,Head,SymmetricalOrAlternating,Straight,Open
A_01_032,Hand,AsymmetricalSameHandshape,Circular,Closed
D_01_018,Hand,AsymmetricalDifferentHandshape,Straight,Open
C_02_068,Body,SymmetricalOrAlternating,Straight,Open
B_01_009,Hand,AsymmetricalSameHandshape,Curved,Open
C_02_039,Head,OneHanded,None,Open
C_02_070,Head,OneHanded,Straight,Open
K_03_065,Head,OneHanded,Straight,Open
C_03_074,Neutral,OneHanded,Curved,Open
H_02_74,Neutral,OneHanded,None,Closed
E_02_20,Hand,AsymmetricalDifferentHandshape,Straight,Open
H_03_58,Neutral,SymmetricalOrAlternating,Other,Open
H_01_5,Neutral,SymmetricalOrAlternating,Straight,Open
J_03_072,Body,OneHanded,Curved,Open
